car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,lprice,lenginesize,lcompressionratio,lpeakrpm
11,2,bmw 320i,1,std,two,sedan,rwd,1,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,9.706864211,4.682131227,2.174751721,8.665613197
12,0,bmw 320i,1,std,four,sedan,rwd,1,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,9.736547098,4.682131227,2.174751721,8.665613197
13,0,bmw x1,1,std,two,sedan,rwd,1,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,9.950848124,5.099866428,2.197224577,8.354674262
14,0,bmw x3,1,std,four,sedan,rwd,1,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105,9.957265258,5.099866428,2.197224577,8.354674262
15,1,bmw z4,1,std,four,sedan,rwd,1,103.5,189,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,24565,10.10907794,5.099866428,2.197224577,8.354674262
16,0,bmw x4,1,std,four,sedan,rwd,1,103.5,189,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,30760,10.33397042,5.342334252,2.079441542,8.594154233
17,0,bmw x5,1,std,two,sedan,rwd,1,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,41315,10.62898091,5.342334252,2.079441542,8.594154233
18,0,bmw x3,1,std,four,sedan,rwd,1,110,197,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880,10.51542468,5.342334252,2.079441542,8.594154233
19,2,chevrolet impala,1,std,two,hatchback,fwd,1,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,8.54694615,4.110873864,2.251291799,8.536995819
20,1,chevrolet monte carlo,1,std,two,hatchback,fwd,1,94.5,155.9,63.6,52,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,8.747510946,4.49980967,2.261763098,8.594154233
21,0,chevrolet vega 2300,1,std,four,sedan,fwd,1,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,8.791029857,4.49980967,2.261763098,8.594154233
22,1,dodge rampage,1,std,two,hatchback,fwd,1,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,8.625509335,4.49980967,2.241772954,8.612503371
23,1,dodge challenger se,1,std,two,hatchback,fwd,1,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,8.760453046,4.49980967,2.240709689,8.612503371
24,1,dodge d200,1,turbo,two,hatchback,fwd,1,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,8.981807323,4.584967479,2.028148247,8.612503371
25,1,dodge monaco (sw),1,std,four,hatchback,fwd,1,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,8.736971085,4.49980967,2.240709689,8.612503371
26,1,dodge colt hardtop,1,std,four,sedan,fwd,1,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,8.808668062,4.49980967,2.240709689,8.612503371
27,1,dodge colt (sw),1,std,four,sedan,fwd,1,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,8.937087036,4.49980967,2.240709689,8.612503371
28,1,dodge coronet custom,1,turbo,two,sedan,fwd,1,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558,9.054621797,4.584967479,2.028148247,8.612503371
29,-1,dodge dart custom,1,std,four,wagon,fwd,1,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,9.096163327,4.804021045,2.140066163,8.517193191
30,3,dodge coronet custom (sw),1,turbo,two,hatchback,fwd,1,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12964,9.469931564,5.049856007,1.945910149,8.517193191
31,2,honda civic,1,std,two,hatchback,fwd,1,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479,8.776321456,4.521788577,2.261763098,8.476371197
32,2,honda civic cvcc,1,std,two,hatchback,fwd,1,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855,8.832733592,4.521788577,2.219203484,8.699514748
33,1,honda civic,1,std,two,hatchback,fwd,1,93.7,150,64,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399,8.59396903,4.369447852,2.312535424,8.612503371
34,1,honda accord cvcc,1,std,two,hatchback,fwd,1,93.7,150,64,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529,8.784009071,4.521788577,2.219203484,8.699514748
35,1,honda civic cvcc,1,std,two,hatchback,fwd,1,93.7,150,64,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129,8.871926251,4.521788577,2.219203484,8.699514748
36,0,honda accord lx,1,std,four,sedan,fwd,1,96.5,163.4,64,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295,8.894944461,4.521788577,2.219203484,8.699514748
37,0,honda civic 1500 gl,1,std,four,wagon,fwd,1,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295,8.894944461,4.521788577,2.219203484,8.699514748
38,0,honda accord,1,std,two,hatchback,fwd,1,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,7895,8.973984927,4.700480366,2.197224577,8.665613197
39,0,honda civic 1300,1,std,two,hatchback,fwd,1,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,9095,9.115480091,4.700480366,2.197224577,8.665613197
40,0,honda prelude,1,std,four,sedan,fwd,1,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8845,9.087607607,4.700480366,2.197224577,8.665613197
41,0,honda accord,1,std,four,sedan,fwd,1,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,10295,9.239413619,4.700480366,2.197224577,8.665613197
42,0,honda civic,1,std,four,sedan,fwd,1,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,12945,9.468464892,4.700480366,2.197224577,8.665613197
43,1,honda civic (auto),1,std,two,sedan,fwd,1,96.5,169.1,66,51,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,9.24425859,4.700480366,2.208274414,8.612503371
44,0,isuzu MU-X,1,std,four,sedan,rwd,1,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785,8.822469572,4.709530201,2.140066163,8.476371197
45,1,isuzu D-Max ,1,std,two,sedan,fwd,1,94.5,155.9,63.6,52,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,9.095658772,4.49980967,2.261763098,8.594154233
46,0,isuzu D-Max V-Cross,1,std,four,sedan,fwd,1,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,9.095658772,4.49980967,2.261763098,8.594154233
47,2,isuzu D-Max ,1,std,two,hatchback,rwd,1,96,172.6,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048,9.310004695,4.779123493,2.219203484,8.517193191
48,0,jaguar xj,1,std,four,sedan,rwd,1,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250,10.38127332,5.552959585,2.091864062,8.465899897
49,0,jaguar xf,1,std,four,sedan,rwd,1,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550,10.47869544,5.552959585,2.091864062,8.465899897
50,0,jaguar xk,1,std,two,sedan,rwd,1,102,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000,10.49127422,5.786897381,2.442347035,8.517193191
51,1,maxda rx3,1,std,two,hatchback,fwd,1,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,31,5195,8.555451904,4.510859507,2.197224577,8.517193191
52,1,maxda glc deluxe,1,std,two,hatchback,fwd,1,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6095,8.715224042,4.510859507,2.197224577,8.517193191
53,1,mazda rx2 coupe,1,std,two,hatchback,fwd,1,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6795,8.823942327,4.510859507,2.197224577,8.517193191
54,1,mazda rx-4,1,std,four,sedan,fwd,1,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6695,8.809116258,4.510859507,2.197224577,8.517193191
55,1,mazda glc deluxe,1,std,four,sedan,fwd,1,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7395,8.908559375,4.510859507,2.197224577,8.517193191
56,3,mazda 626,1,std,two,hatchback,rwd,1,95.3,169,65.7,49.6,2380,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,10945,9.30063801,4.248495242,2.240709689,8.699514748
57,3,mazda glc,1,std,two,hatchback,rwd,1,95.3,169,65.7,49.6,2380,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,11845,9.379661117,4.248495242,2.240709689,8.699514748
58,3,mazda rx-7 gs,1,std,two,hatchback,rwd,1,95.3,169,65.7,49.6,2385,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,13645,9.521128433,4.248495242,2.240709689,8.699514748
59,3,mazda glc 4,1,std,two,hatchback,rwd,1,95.3,169,65.7,49.6,2500,rotor,two,80,mpfi,3.33,3.255,9.4,135,6000,16,23,15645,9.657906656,4.382026635,2.240709689,8.699514748
60,1,mazda 626,1,std,two,hatchback,fwd,1,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845,9.087607607,4.804021045,2.151762203,8.476371197
61,0,mazda glc custom l,1,std,four,sedan,fwd,1,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495,9.047233034,4.804021045,2.151762203,8.476371197
62,1,mazda glc custom,1,std,two,hatchback,fwd,1,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595,9.268137471,4.804021045,2.151762203,8.476371197
63,0,mazda rx-4,1,std,four,sedan,fwd,1,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245,9.234545061,4.804021045,2.151762203,8.476371197
64,0,mazda glc deluxe,0,std,four,sedan,fwd,1,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795,9.286838343,4.804021045,3.122364924,8.444622499
65,0,mazda 626,1,std,four,hatchback,fwd,1,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245,9.327678864,4.804021045,2.151762203,8.476371197
66,0,mazda glc,1,std,four,sedan,rwd,1,104.9,175,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,19,27,18280,9.813562845,4.941642423,2.079441542,8.517193191
67,0,mazda rx-7 gs,0,std,four,sedan,rwd,1,104.9,175,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,31,39,18344,9.817057825,4.8978398,3.091042453,8.342839804
68,-1,buick electra 225 custom,0,turbo,four,sedan,rwd,1,110,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552,10.14847087,5.209486153,3.068052935,8.377931124
69,-1,buick century luxus (sw),0,turbo,four,wagon,rwd,1,110,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248,10.24877794,5.209486153,3.068052935,8.377931124
70,0,buick century,0,turbo,two,hardtop,rwd,1,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176,10.24622583,5.209486153,3.068052935,8.377931124
71,-1,buick skyhawk,0,turbo,four,sedan,rwd,1,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,31600,10.3609124,5.209486153,3.068052935,8.377931124
72,-1,buick opel isuzu deluxe,1,std,four,sedan,rwd,1,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184,10.43951298,5.455321115,2.116255515,8.465899897
73,3,buick skylark,1,std,two,convertible,rwd,1,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056,10.46470206,5.455321115,2.116255515,8.465899897
74,0,buick century special,1,std,four,sedan,rwd,1,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,14,16,40960,10.62035126,5.730099783,2.079441542,8.411832676
75,1,buick regal sport coupe (turbo),1,std,two,hardtop,rwd,1,112,199.2,72,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,14,16,45400,10.72326738,5.717027701,2.079441542,8.411832676
76,1,mercury cougar,1,turbo,two,hatchback,rwd,1,102.7,178.4,68,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,19,24,16503,9.711297462,4.941642423,2.079441542,8.517193191
77,2,mitsubishi mirage,1,std,two,hatchback,fwd,1,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389,8.592115118,4.521788577,2.240709689,8.612503371
78,2,mitsubishi lancer,1,std,two,hatchback,fwd,1,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189,8.730528802,4.521788577,2.240709689,8.612503371
79,2,mitsubishi outlander,1,std,two,hatchback,fwd,1,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669,8.805225203,4.521788577,2.240709689,8.612503371
80,1,mitsubishi g4,1,turbo,two,hatchback,fwd,1,93,157.3,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689,8.947546015,4.584967479,2.028148247,8.612503371
81,3,mitsubishi mirage g4,1,turbo,two,hatchback,fwd,1,96.3,173,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959,9.206231944,4.700480366,2.014903021,8.612503371
82,3,mitsubishi g4,1,std,two,hatchback,fwd,1,96.3,173,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499,9.047703788,4.804021045,2.140066163,8.517193191
83,3,mitsubishi outlander,1,turbo,two,hatchback,fwd,1,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,19,24,12629,9.443751036,5.049856007,1.945910149,8.517193191
84,3,mitsubishi g4,1,turbo,two,hatchback,fwd,1,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14869,9.607033788,5.049856007,1.945910149,8.517193191
85,3,mitsubishi mirage g4,1,turbo,two,hatchback,fwd,1,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14489,9.58114502,5.049856007,1.945910149,8.517193191
86,1,mitsubishi montero,1,std,four,sedan,fwd,1,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989,8.852092763,4.804021045,2.140066163,8.517193191
87,1,mitsubishi pajero,1,std,four,sedan,fwd,1,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189,9.010547069,4.804021045,2.140066163,8.517193191
88,1,mitsubishi outlander,1,turbo,four,sedan,fwd,1,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,9.135509061,4.700480366,2.014903021,8.612503371
89,-1,mitsubishi mirage g4,1,std,four,sedan,fwd,1,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,9.135509061,4.700480366,2.014903021,8.612503371
90,1,Nissan versa,1,std,two,sedan,fwd,1,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499,8.612321537,4.574710979,2.240709689,8.556413905
91,1,nissan gt-r,0,std,two,sedan,fwd,1,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099,8.867709208,4.634728988,3.086486637,8.476371197
92,1,nissan rogue,1,std,two,sedan,fwd,1,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649,8.802221746,4.574710979,2.240709689,8.556413905
93,1,nissan latio,1,std,four,sedan,fwd,1,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849,8.831857935,4.574710979,2.240709689,8.556413905
94,1,nissan titan,1,std,four,wagon,fwd,1,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349,8.902319529,4.574710979,2.240709689,8.556413905
95,1,nissan leaf,1,std,two,sedan,fwd,1,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299,8.895492631,4.574710979,2.240709689,8.556413905
96,1,nissan juke,1,std,two,hatchback,fwd,1,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799,8.961750799,4.574710979,2.240709689,8.556413905
97,1,nissan latio,1,std,four,sedan,fwd,1,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499,8.922524957,4.574710979,2.240709689,8.556413905
98,1,nissan note,1,std,four,wagon,fwd,1,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999,8.987071813,4.574710979,2.240709689,8.556413905
99,2,nissan clipper,1,std,two,hardtop,fwd,1,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249,9.01784726,4.574710979,2.240709689,8.556413905
100,0,nissan rogue,1,std,four,hatchback,fwd,1,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949,9.099297073,4.787491743,2.140066163,8.556413905
101,0,nissan nv200,1,std,four,sedan,fwd,1,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549,9.164191716,4.787491743,2.140066163,8.556413905
102,0,nissan dayz,1,std,four,sedan,fwd,1,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,13499,9.510370888,5.198497031,2.197224577,8.556413905
103,0,nissan fuga,1,std,four,wagon,fwd,1,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,14399,9.574914039,5.198497031,2.197224577,8.556413905
104,0,nissan otti,1,std,four,sedan,fwd,1,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,19,25,13499,9.510370888,5.198497031,2.197224577,8.556413905
105,3,nissan teana,1,std,two,hatchback,rwd,1,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,17199,9.752606522,5.198497031,2.197224577,8.556413905
106,3,nissan kicks,1,turbo,two,hatchback,rwd,1,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699,9.888323152,5.198497031,2.054123734,8.556413905
107,1,nissan clipper,1,std,two,hatchback,rwd,1,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,18399,9.820051594,5.198497031,2.197224577,8.556413905
108,0,peugeot 504,1,std,four,sedan,rwd,1,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900,9.384293679,4.787491743,2.128231706,8.517193191
109,0,peugeot 304,0,turbo,four,sedan,rwd,1,107.9,186.7,68.4,56.7,3197,l,four,152,idi,3.7,3.52,21,95,4150,28,33,13200,9.487972109,5.023880521,3.044522438,8.330863613
110,0,peugeot 504 (sw),1,std,four,wagon,rwd,1,114.2,198.9,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440,9.428672366,4.787491743,2.128231706,8.517193191
111,0,peugeot 504,0,turbo,four,wagon,rwd,1,114.2,198.9,68.4,58.7,3430,l,four,152,idi,3.7,3.52,21,95,4150,25,25,13860,9.536762273,5.023880521,3.044522438,8.330863613
112,0,peugeot 504,1,std,four,sedan,rwd,1,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580,9.653743319,4.787491743,2.128231706,8.517193191
113,0,peugeot 604sl,0,turbo,four,sedan,rwd,1,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,16900,9.735068901,5.023880521,3.044522438,8.330863613
114,0,peugeot 504,1,std,four,wagon,rwd,1,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695,9.722864552,4.787491743,2.128231706,8.517193191
115,0,peugeot 505s turbo diesel,0,turbo,four,wagon,rwd,1,114.2,198.9,68.4,58.7,3485,l,four,152,idi,3.7,3.52,21,95,4150,25,25,17075,9.745370684,5.023880521,3.044522438,8.330863613
116,0,peugeot 504,1,std,four,sedan,rwd,1,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630,9.718963572,4.787491743,2.128231706,8.517193191
117,0,peugeot 504,0,turbo,four,sedan,rwd,1,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,17950,9.795345394,5.023880521,3.044522438,8.330863613
118,0,peugeot 604sl,1,turbo,four,sedan,rwd,1,108,186.7,68.3,56,3130,l,four,134,mpfi,3.61,3.21,7,142,5600,18,24,18150,9.80642584,4.8978398,1.945910149,8.630521877
119,1,plymouth fury iii,1,std,two,hatchback,fwd,1,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572,8.625509335,4.49980967,2.240709689,8.612503371
120,1,plymouth cricket,1,turbo,two,hatchback,fwd,1,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957,8.981807323,4.584967479,2.028148247,8.612503371
121,1,plymouth fury iii,1,std,four,hatchback,fwd,1,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,8.736971085,4.49980967,2.240709689,8.612503371
122,1,plymouth satellite custom (sw),1,std,four,sedan,fwd,1,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,8.808668062,4.49980967,2.240709689,8.612503371
123,1,plymouth fury gran sedan,1,std,four,sedan,fwd,1,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,8.937087036,4.584967479,2.240709689,8.612503371
124,-1,plymouth valiant,1,std,four,wagon,fwd,1,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921,9.096163327,4.804021045,2.140066163,8.517193191
125,3,plymouth duster,1,turbo,two,hatchback,rwd,1,95.9,173.2,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,12764,9.454383987,5.049856007,1.945910149,8.517193191
126,3,porsche macan,1,std,two,hatchback,rwd,1,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018,9.99961558,5.017279837,2.251291799,8.612503371
127,3,porcshce panamera,1,std,two,hardtop,rwd,0,89.5,168.9,65,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528,10.38985654,5.267858159,2.251291799,8.68270763
